"rowvar","colvar","lag","split","stat","empirical","q025","q50","q975","mean","sd","n_empirical","n_model_mean","ntime_empirical","ntime_model_mean","Sig"
"esm_psx_bin","esm_psx_bin",0,"All","correlation",1,1,1,1,1,7.12673512263943e-17,7555,7555,64,64,FALSE
"esm_psx_bin","esm_psx_con",0,"All","correlation",NA,0.103166383295397,0.195662257457975,0.277907642782579,0.1943951006956,0.0450946062878642,1937,1937,0,63.995,NA
"esm_psx_con","esm_psx_bin",0,"All","correlation",NA,0.103166383295397,0.195662257457975,0.277907642782579,0.1943951006956,0.0450946062878642,1937,1937,0,63.995,NA
"esm_psx_con","esm_psx_con",0,"All","correlation",1,1,1,1,1,5.72956467926464e-17,1937,1937,64,64,FALSE
"esm_psx_bin","esm_psx_bin",1,"All","correlation",0.427439101792209,0.369597664155294,0.431583440069261,0.484383488876459,0.430697972414464,0.0310158490866934,4849,4849,63,63,FALSE
"esm_psx_bin","esm_psx_con",1,"All","correlation",0.188361314801863,0.0875754520605004,0.204832649345139,0.296333569433257,0.200599495887321,0.0530874083691727,1215,1215,62,61.845,FALSE
"esm_psx_con","esm_psx_bin",1,"All","correlation",0.239370989358231,0.0775230488162799,0.196120219504694,0.28091798400526,0.192206607421133,0.0540235195681312,1205,1205,63,62.82,FALSE
"esm_psx_con","esm_psx_con",1,"All","correlation",0.427534663659919,0.185449784586862,0.32277207608816,0.45760708107095,0.324588876080071,0.0683071492198408,686,686,43,43,FALSE
"esm_psx_bin","esm_psx_bin",2,"All","correlation",0.421892929725139,0.361313223636499,0.425891962266706,0.486467500919378,0.426575933453194,0.0322572170583638,4732,4732,62,62,FALSE
"esm_psx_bin","esm_psx_con",2,"All","correlation",0.23262053931526,0.102086346850374,0.199880335272494,0.302621460370524,0.200495127204738,0.0535365760069379,1172,1172,61,60.855,FALSE
"esm_psx_con","esm_psx_bin",2,"All","correlation",0.213011187075989,0.0941152444970921,0.190584784988264,0.288009412510894,0.190777802510879,0.0533512297462009,1154,1154,61,60.835,FALSE
"esm_psx_con","esm_psx_con",2,"All","correlation",0.457381963437703,0.169381191635365,0.289942282733902,0.437578761193736,0.298468757571989,0.0701256110049238,659,659,38,37.99,TRUE
"esm_psx_bin","esm_psx_bin",3,"All","correlation",0.439888265665627,0.371771894888452,0.42569886848064,0.483903899705135,0.426853333590984,0.0316189146161241,4605,4605,61,61,FALSE
"esm_psx_bin","esm_psx_con",3,"All","correlation",0.271651111140662,0.10427757467913,0.202877146171442,0.313680843322514,0.202734687910946,0.055709709257235,1125,1125,60,59.75,FALSE
"esm_psx_con","esm_psx_bin",3,"All","correlation",0.221238454112065,0.10277465942856,0.195745079826434,0.292092860383772,0.195916056190221,0.0527407399750493,1158,1158,60,59.845,FALSE
"esm_psx_con","esm_psx_con",3,"All","correlation",0.482604383362619,0.164319598710096,0.304617450360984,0.417563346120484,0.298799136856461,0.0683020305208361,658,658,42,41.995,TRUE
